ARTIFACT_ID,PATH,SHA256,REVISION,V7_REFERENCE,PURPOSE,DISCLOSURE_CLASS,RADE_MAY_VIEW,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,CONFIDENTIALITY_CLASS
CAN-015,CANONICAL_V7_R3/CAD_STEP/P210_SENSOR_INTERFACE.step,190dcde1b4328af6b823dfefdb1e98f47e80d17e3d6604fce0e3df71bd94715a,V7-RC-003,210,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-016,CANONICAL_V7_R3/CAD_STEP/PJ_HINGE_PIVOT.step,27981d1f4fc03293f0942664f48ff1d55c471abef094392ae9d00b4b028a40e2,V7-RC-003,J,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-017,CANONICAL_V7_R3/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,V7-RC-003,100–210 + J,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CAN-018,CANONICAL_V7_R3/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,V7-RC-003,100–210 + J,Controlled V7-R3 CAD source for Stage-0 assessment,CANONICAL_READ_ONLY,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CTRL-001,CONTROL/V7_RADe_EXTERNAL_DISCLOSURE_EXECUTIVE_SUMMARY.md,80937802abfb6a888c89e135101f2143f7af32235bb5325d7bfb824ba88ba0f2,GATE-005,Cross-cutting,External disclosure governance control,EXTERNAL_CONTROL,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CTRL-002,CONTROL/V7_RADe_EXTERNAL_DISCLOSURE_PACKAGE_MANIFEST.md,df615ae8f1efa837663b7e6959e98603c08513d26cb9607de67ffefaf7adcaf5,GATE-005,Cross-cutting,External disclosure governance control,EXTERNAL_CONTROL,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
CTRL-003,CONTROL/V7_RADe_SUBMITTED_CHANGE_PACKAGE_PROTOCOL.md,295011bf1d7209e9e9d0cb2a712fb8d9c6a9a74b8c4ec0e4030ab8101e309aa0,GATE-005,Cross-cutting,External disclosure governance control,EXTERNAL_CONTROL,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-001,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_DATA_READINESS_MATRIX.csv,2f755d6e051ba022e984d76dae802bc78d6f9c6baf747ce32b0537eaa6df9c11,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-002,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_DATUM_AND_COORDINATE_BASELINE.md,0721c90a100e97db0f6a49f922aece5252a7e90649270ba3a425c8ef384f4ecb,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-003,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_DIMENSION_BASELINE.csv,bcff50c577285208387594bed50fa0bd9b2457053385c9942540cef90aa35fba,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-004,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_INTERFACES_AND_JOINT_BASELINE.csv,400cfcf21ec61e06ae15e4aba5c6c880c5b645cae790d67e48326c9a9ddbe034,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-005,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_MASS_PROPERTY_BASELINE.csv,ba675b55ebd6718baf07bd01d2901e91deb94acc781abd989e69062cab452351,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-006,V7_RADE_REFERENCE_READ_ONLY/V7_CANONICAL_STATE_MACHINE_BASELINE.md,bbcbf20e134e871496a4cb8417356e2a495eb5d86d11377c1376846c48120976,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-007,V7_RADE_REFERENCE_READ_ONLY/V7_RADE_STAGE0_DISCLOSURE_BOUNDARY.md,cdea59a21bbc085d972acdc9f54e5b1cd64b7c226176f53b596f102a5064351b,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
REF-008,V7_RADE_REFERENCE_READ_ONLY/V7_RADE_STAGE0_INPUT_MANIFEST.md,c653b3cd67a5a401a49131d8755ead3e9aad7b5b689a7f7d7ce5ab6e2216beae,V7-RC-003,Cross-cutting,Controlled Stage-0 read-only engineering reference,READ_ONLY_REFERENCE,YES,NO,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-001,V7_RADE_WORKING_COPY/CAD_STEP/P100_BASE.step,e918974579cfd8cf85c7d861d8aecc53aa94f10141a5a7e8f9fe957612390ded,V7-RC-003,100,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-002,V7_RADE_WORKING_COPY/CAD_STEP/P110L_RAIL.step,20946329ba7178bee18148e2bff55a2fddef970856e3cb6e5839bed28596cd62,V7-RC-003,110L,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-003,V7_RADE_WORKING_COPY/CAD_STEP/P110R_RAIL.step,0fca6fd1e5b70ea369d9154c9577b2e155b977e1882b72e4fc707c31aa0ef5f4,V7-RC-003,110R,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-004,V7_RADE_WORKING_COPY/CAD_STEP/P120_CARRIAGE.step,91a6daef7e5f1d7310682c3a6477d1aa9e402f225e60a0e69c6e612c587dcd83,V7-RC-003,120,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-005,V7_RADE_WORKING_COPY/CAD_STEP/P130L_ABSORBER.step,634b0739fd41d1fe4496bb6151930cecd9aad68fbc2884a76df88801c4a8243b,V7-RC-003,130L,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-006,V7_RADE_WORKING_COPY/CAD_STEP/P130R_ABSORBER.step,de4b4a8dbfab4d4dce6654ce3f8ec877a7ec2dd67398772494e4c8e6fbe4129d,V7-RC-003,130R,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-007,V7_RADE_WORKING_COPY/CAD_STEP/P140_PELVIC_CONTROL.step,3a4ee3b08bbf400ea326fc5f27efd9b584e1bd7db1537076c38734dd49a7a5c9,V7-RC-003,140,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-008,V7_RADE_WORKING_COPY/CAD_STEP/P150L_ROTATION_LINK.step,98780b73442a47a8b4fadce786d1cc69d9a999686deabdba5b1704e56300a541,V7-RC-003,150L,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-009,V7_RADE_WORKING_COPY/CAD_STEP/P150R_ROTATION_LINK.step,7d92b7ef63e97eef3f6db9e8fd41e036cc7a43f44e35f96752c5d375b278e0d9,V7-RC-003,150R,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-010,V7_RADE_WORKING_COPY/CAD_STEP/P160_SEATBACK_FRAME.step,35da1efc45172078fd60ec82067b7bcef14ede46cdcbf0edcaa9db921ed61f8b,V7-RC-003,160,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-011,V7_RADE_WORKING_COPY/CAD_STEP/P170_LOCK170.step,07222f8973506e5152a4b80db8b974786d00ea70d6b128a8ef177b5d1c502817,V7-RC-003,170,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-012,V7_RADE_WORKING_COPY/CAD_STEP/P180_REBOUND.step,dca024499bca657542d3781cd34ad1b5ed29207fb7834efc65e127387c543113,V7-RC-003,180,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-013,V7_RADE_WORKING_COPY/CAD_STEP/P190_RESTRAINT_INTERFACES.step,c92562b01ac66262e986e82309b793a994a53e4970bad97da07acb4b645255df,V7-RC-003,190,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-014,V7_RADE_WORKING_COPY/CAD_STEP/P200_OCCUPANT_GUIDANCE.step,854b946deaf29958505669807452687e693f77efd1ce72bafdb30275b8e82fd9,V7-RC-003,200,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-015,V7_RADE_WORKING_COPY/CAD_STEP/P210_SENSOR_INTERFACE.step,190dcde1b4328af6b823dfefdb1e98f47e80d17e3d6604fce0e3df71bd94715a,V7-RC-003,210,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-016,V7_RADE_WORKING_COPY/CAD_STEP/PJ_HINGE_PIVOT.step,27981d1f4fc03293f0942664f48ff1d55c471abef094392ae9d00b4b028a40e2,V7-RC-003,J,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-017,V7_RADE_WORKING_COPY/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,V7-RC-003,100–210 + J,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
WC-018,V7_RADE_WORKING_COPY/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,V7-RC-003,100–210 + J,Non-authoritative working copy for Rade Stage-0 analysis/proposed changes,WORKING_COPY,YES,YES,YES,CONFIDENTIAL — LIMITED PURPOSE ENGINEERING ASSESSMENT
