ARTIFACT_ID,EXACT_FILENAME,SOURCE_LOCATION,REVISION,SHA256,GEOMETRY_IDENTITY,APPROVAL_STATUS,COMPARISON_TO_R3,SOURCE_PROJECT_COMMIT_SHA,AUDIT_REPOSITORY_COMMIT_SHA
CAD-R3-015,P210_SENSOR_INTERFACE.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/P210_SENSOR_INTERFACE.step,V7-RC-003,190dcde1b4328af6b823dfefdb1e98f47e80d17e3d6604fce0e3df71bd94715a,210,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-016,PJ_HINGE_PIVOT.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/PJ_HINGE_PIVOT.step,V7-RC-003,27981d1f4fc03293f0942664f48ff1d55c471abef094392ae9d00b4b028a40e2,J,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-017,V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,V7-RC-003,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,100–210 + J,CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R3-018,V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip::CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,V7-RC-003,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,100–210 + J (21 solids readback),CURRENT_APPROVED_IMMUTABLE,CANONICAL_R3_SOURCE,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-001,P100_BASE.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P100_BASE.step,V7-RC-002,e918974579cfd8cf85c7d861d8aecc53aa94f10141a5a7e8f9fe957612390ded,100,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-002,P110L_RAIL.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P110L_RAIL.step,V7-RC-002,20946329ba7178bee18148e2bff55a2fddef970856e3cb6e5839bed28596cd62,110L,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-003,P110R_RAIL.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P110R_RAIL.step,V7-RC-002,0fca6fd1e5b70ea369d9154c9577b2e155b977e1882b72e4fc707c31aa0ef5f4,110R,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-004,P120_CARRIAGE.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P120_CARRIAGE.step,V7-RC-002,91a6daef7e5f1d7310682c3a6477d1aa9e402f225e60a0e69c6e612c587dcd83,120,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-005,P130L_ABSORBER.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P130L_ABSORBER.step,V7-RC-002,634b0739fd41d1fe4496bb6151930cecd9aad68fbc2884a76df88801c4a8243b,130L,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-006,P130R_ABSORBER.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P130R_ABSORBER.step,V7-RC-002,de4b4a8dbfab4d4dce6654ce3f8ec877a7ec2dd67398772494e4c8e6fbe4129d,130R,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-007,P140_PELVIC_CONTROL.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P140_PELVIC_CONTROL.step,V7-RC-002,3a4ee3b08bbf400ea326fc5f27efd9b584e1bd7db1537076c38734dd49a7a5c9,140,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-008,P150L_ROTATION_LINK.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P150L_ROTATION_LINK.step,V7-RC-002,98780b73442a47a8b4fadce786d1cc69d9a999686deabdba5b1704e56300a541,150L,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-009,P150R_ROTATION_LINK.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P150R_ROTATION_LINK.step,V7-RC-002,7d92b7ef63e97eef3f6db9e8fd41e036cc7a43f44e35f96752c5d375b278e0d9,150R,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-010,P160_SEATBACK_FRAME.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P160_SEATBACK_FRAME.step,V7-RC-002,35da1efc45172078fd60ec82067b7bcef14ede46cdcbf0edcaa9db921ed61f8b,160,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-011,P170_LOCK170.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P170_LOCK170.step,V7-RC-002,07222f8973506e5152a4b80db8b974786d00ea70d6b128a8ef177b5d1c502817,170,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-012,P180_REBOUND.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P180_REBOUND.step,V7-RC-002,dca024499bca657542d3781cd34ad1b5ed29207fb7834efc65e127387c543113,180,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-013,P190_RESTRAINT_INTERFACES.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P190_RESTRAINT_INTERFACES.step,V7-RC-002,c92562b01ac66262e986e82309b793a994a53e4970bad97da07acb4b645255df,190,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-014,P200_OCCUPANT_GUIDANCE.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P200_OCCUPANT_GUIDANCE.step,V7-RC-002,854b946deaf29958505669807452687e693f77efd1ce72bafdb30275b8e82fd9,200,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-015,P210_SENSOR_INTERFACE.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/P210_SENSOR_INTERFACE.step,V7-RC-002,190dcde1b4328af6b823dfefdb1e98f47e80d17e3d6604fce0e3df71bd94715a,210,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-016,PJ_HINGE_PIVOT.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/PJ_HINGE_PIVOT.step,V7-RC-002,27981d1f4fc03293f0942664f48ff1d55c471abef094392ae9d00b4b028a40e2,J,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-017,V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,V7-RC-002,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,100–210 + J,SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R2-018,V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,V7_ENGINEERING_BASELINE_PACKAGE_R2.zip::CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,V7-RC-002,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,100–210 + J (21 solids readback),SUPERSEDED_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-001,P100_BASE.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P100_BASE.step,V7-RC-004,e918974579cfd8cf85c7d861d8aecc53aa94f10141a5a7e8f9fe957612390ded,100,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-002,P110L_RAIL.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P110L_RAIL.step,V7-RC-004,20946329ba7178bee18148e2bff55a2fddef970856e3cb6e5839bed28596cd62,110L,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-003,P110R_RAIL.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P110R_RAIL.step,V7-RC-004,0fca6fd1e5b70ea369d9154c9577b2e155b977e1882b72e4fc707c31aa0ef5f4,110R,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-004,P120_CARRIAGE.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P120_CARRIAGE.step,V7-RC-004,91a6daef7e5f1d7310682c3a6477d1aa9e402f225e60a0e69c6e612c587dcd83,120,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-005,P130L_ABSORBER.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P130L_ABSORBER.step,V7-RC-004,634b0739fd41d1fe4496bb6151930cecd9aad68fbc2884a76df88801c4a8243b,130L,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-006,P130R_ABSORBER.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P130R_ABSORBER.step,V7-RC-004,de4b4a8dbfab4d4dce6654ce3f8ec877a7ec2dd67398772494e4c8e6fbe4129d,130R,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-007,P140_PELVIC_CONTROL.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P140_PELVIC_CONTROL.step,V7-RC-004,3a4ee3b08bbf400ea326fc5f27efd9b584e1bd7db1537076c38734dd49a7a5c9,140,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-008,P150L_ROTATION_LINK.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P150L_ROTATION_LINK.step,V7-RC-004,98780b73442a47a8b4fadce786d1cc69d9a999686deabdba5b1704e56300a541,150L,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-009,P150R_ROTATION_LINK.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P150R_ROTATION_LINK.step,V7-RC-004,7d92b7ef63e97eef3f6db9e8fd41e036cc7a43f44e35f96752c5d375b278e0d9,150R,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-010,P160_SEATBACK_FRAME.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P160_SEATBACK_FRAME.step,V7-RC-004,35da1efc45172078fd60ec82067b7bcef14ede46cdcbf0edcaa9db921ed61f8b,160,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-011,P170_LOCK170.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P170_LOCK170.step,V7-RC-004,07222f8973506e5152a4b80db8b974786d00ea70d6b128a8ef177b5d1c502817,170,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-012,P180_REBOUND.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P180_REBOUND.step,V7-RC-004,dca024499bca657542d3781cd34ad1b5ed29207fb7834efc65e127387c543113,180,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-013,P190_RESTRAINT_INTERFACES.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P190_RESTRAINT_INTERFACES.step,V7-RC-004,c92562b01ac66262e986e82309b793a994a53e4970bad97da07acb4b645255df,190,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-014,P200_OCCUPANT_GUIDANCE.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P200_OCCUPANT_GUIDANCE.step,V7-RC-004,854b946deaf29958505669807452687e693f77efd1ce72bafdb30275b8e82fd9,200,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-015,P210_SENSOR_INTERFACE.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/P210_SENSOR_INTERFACE.step,V7-RC-004,190dcde1b4328af6b823dfefdb1e98f47e80d17e3d6604fce0e3df71bd94715a,210,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-016,PJ_HINGE_PIVOT.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/PJ_HINGE_PIVOT.step,V7-RC-004,27981d1f4fc03293f0942664f48ff1d55c471abef094392ae9d00b4b028a40e2,J,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-017,V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,V7-RC-004,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,100–210 + J,NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-R4-018,V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,V7_ENGINEERING_BASELINE_PACKAGE_R4.zip::CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,V7-RC-004,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,100–210 + J (21 solids readback),NON_AUTHORITATIVE_SAME_GEOMETRY,BYTE_IDENTICAL_TO_R3,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-ALT-001,V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,/mnt/data/V7_ENGINEERING_BASELINE/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,V7-RC-001,c6dea11388c4bd229f71c9b6a8814f83312a2d1976810c7512e38d6be107043d,100–210 reconstruction assembly; 21 solids readback,SUPERSEDED_RECONSTRUCTION,DIFFERS_FROM_R3_ASSEMBLY_BYTES,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-ALT-002,T_OCS_V7_R1_Parametric_Research_Model.step,/mnt/data/T_OCS_V7_R1_Parametric_Research_Model.step,V7-R1,448f5f6bab526c1a4aad8981e151037d2323d8c29f41f3f95cf43879bc24fa3a,R1 parametric research model; 35 solids readback,NON_AUTHORITATIVE_RESEARCH_MODEL,NOT_R3_CANONICAL,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
CAD-ALT-003,T_OCS_V7_R0.step,/mnt/data/T_OCS_V7_R0.step,V7-R0,995a0a298735c9317a0bd4aabd19d56d7f15433f396a93b24eadb723f6c1f039,R0 concept STEP; 40 solids readback,HISTORICAL_CONCEPT_NOT_APPROVED,NOT_R3_CANONICAL,f562a8cfe00835f1919ab3683bf17b3ae407100b,NOT_ESTABLISHED_IN_AVAILABLE_RECORDS
