PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
Seatback width,160,450,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept CAD assumption,High,Torso support / packaging,Current reconstruction does not expose an authoritative overall released width.,Source-to-CAD reconciliation,High,Released seatback drawing
Seatback height,160,620,mm,V7 R0 / R1,V7-R0/V7-R1,DESIGN_ASSUMPTION,Concept CAD assumption,High,Torso/head package,Embedded reconstruction parameter uses 650 mm; current model has 620 mm uprights.,Source-to-CAD reconciliation,High,Released seatback drawing
Ride-down stroke target,120/130L/130R,180,mm,V7 R0 / R1 + P0 firewall,V7-R0/V7-R1/P0,DESIGN_ASSUMPTION,"Design target, not measured",High,Energy-management travel,Not measured; separate embedded 350 mm ride-down budget exists.,Vehicle pulse + energy balance + absorber characterization,Critical,Controlled stroke + physical characterization
Lateral adjustment concept,SYSTEM,±25,mm,V7 R0,V7-R0,DESIGN_ASSUMPTION,Concept-board value,Medium,Adjustment/package,Mechanism and hardpoint definition absent.,Vehicle package + mechanism definition,High,Controlled adjustment definition
H-point placeholder X,SYSTEM,0,mm,V7 R0,V7-R0,DESIGN_ASSUMPTION,Explicit placeholder only,High,Legacy package reference,Not a regulatory H-point; must not be reused as vehicle truth.,OEM H/R point input,Critical,OEM/vehicle package
H-point placeholder Y,SYSTEM,185,mm,V7 R0,V7-R0,DESIGN_ASSUMPTION,Explicit placeholder only,High,Legacy package reference,Not a regulatory H-point; vehicle datum is absent.,OEM H/R point input,Critical,OEM/vehicle package
H-point placeholder Z,SYSTEM,330,mm,V7 R0,V7-R0,DESIGN_ASSUMPTION,Explicit placeholder only,High,Legacy package reference,Not a regulatory H-point; vehicle datum is absent.,OEM H/R point input,Critical,OEM/vehicle package
V5/R0 coordinate convention,SYSTEM,X=lateral; Y=longitudinal (front = negative Y); Z=vertical,text,V5_PARAMS / V7_R0_PACKAGE,V5 / V7-R0,SOURCE_SUPPORTED,Legacy/source definition,High,Coordinate/datum basis,Conflicts with current reconstruction and V7 R4 model frame.,Controlled frame reconciliation,Critical,Publish one controlled coordinate scheme
Current reconstruction coordinate convention,SYSTEM,X=longitudinal; Y=lateral; Z=up,text,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD script definition,High,Coordinate mapping,Conflicts with legacy V5/R0 convention; source-to-model transforms are not authoritative.,Frame reconciliation,Critical,Controlled model-to-vehicle transform
R4 model coordinate convention,SYSTEM,X=longitudinal carriage travel; Y=lateral vehicle-right; Z=up,text,V7_R4_MODEL,V7-RC-004,MODEL_DERIVED,Kinematic model definition,High,Kinematic frame,Not established as physical vehicle datum; inherits unresolved source mapping.,Controlled frame + hardpoints,Critical,Datum release + independent verification
Current reconstruction assembly X extent,SYSTEM,635,mm,V7_CURRENT_HIER_STEP,V7-RC-001/RC-004,MODEL_DERIVED,STEP-derived bbox,Medium,Current model envelope,Not a released requirement; differs from 500 mm nominal concept envelope.,Authoritative geometry reconciliation,Critical,Released envelope and metrology
Current reconstruction assembly Y extent,SYSTEM,900,mm,V7_CURRENT_HIER_STEP,V7-RC-001/RC-004,MODEL_DERIVED,STEP-derived bbox,Medium,Current model envelope,Not a released requirement; differs from 520 mm nominal concept envelope and is frame-dependent.,Coordinate reconciliation,Critical,Released envelope
Current reconstruction assembly Z extent,SYSTEM,870,mm,V7_CURRENT_HIER_STEP,V7-RC-001/RC-004,MODEL_DERIVED,STEP-derived bbox,Medium,Current model envelope,Not a released requirement; differs from 860 mm nominal concept envelope.,Geometry reconciliation,High,Released envelope
R0 STEP solid count,SYSTEM,40,solids,V7_R0_STEP,V7-R0,MODEL_DERIVED,STEP readback,High,Original model inventory,Not equivalent to current BOM or reconstructed solid count.,Source lineage,High,Authoritative assembly mapping
R1 STEP solid count,SYSTEM,35,solids,V7_R1_STEP,V7-R1,MODEL_DERIVED,STEP readback,High,R1 model inventory,Differs from R0 and current reconstruction.,Source lineage,High,Body mapping/traceability
Current hierarchical STEP solid count,SYSTEM,21,solids,V7_CURRENT_HIER_STEP,V7-RC-001/RC-004,MODEL_DERIVED,OpenCascade readback,High,Current reconstruction inventory,"Reconstruction count, not historical V7 binary master.",Independent body mapping,High,Controlled body identity mapping
Current BOM reference-item count,SYSTEM,16,items,V7_BOM,V7-RC-001,SOURCE_SUPPORTED,Current BOM,High,Functional reference inventory,Stable numerals are fewer than R0 named components and STEP solids.,Lineage reconciliation,High,Authoritative assembly BOM mapping
P0 true engineering value count claimed,SYSTEM,836,records,P0_COUNT_RECON,P0,SOURCE_SUPPORTED,Prior count claim,Medium,Completeness audit control,Prior artifact cannot identify all 836 records from accessible classified table.,Recover exact prior 836-row ledger,High,Authoritative value ledger
P0 category subtotal,SYSTEM,818,records,P0_COUNT_RECON,P0,SOURCE_SUPPORTED,Arithmetic subtotal,High,Completeness audit control,Leaves 18-record delta unresolved.,Recover exact 836-row ledger,High,Authoritative value ledger
Unaccounted engineering-value delta,SYSTEM,18,records,P0_COUNT_RECON,P0,CONFLICTING,Arithmetic discrepancy documented,High,Audit integrity,Individual 18 records are not identifiable from accessible artifact set.,Prior classified ledger + provenance,Critical,Recover parameter ledger
Current reconstructed base block,100,520×520×30,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Vehicle interface/base frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed vertical boxes,100,"40×520×120 at X=±240, Z=15",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Vehicle interface/base frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed cross-members,100,"40×480×30 at Y=±210, Z=30",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Vehicle interface/base frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed rail primitive,110L,420×38×42,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Left longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed secondary rail/guide,110L,420×24×28,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Left longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,110L,Y=-210; Z=105 and 145,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Left longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed rail primitive,110R,420×38×42,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Right longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed secondary rail/guide,110R,420×24×28,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Right longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,110R,Y=+210; Z=105 and 145,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Right longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed carriage primitive,120,470×460×28,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Seat carriage,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed guide blocks,120,"55×60×40 at Y=±210, Z=205",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Seat carriage,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed body primitive,130L,260×44×44,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Left ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed cylindrical element,130L,R22×60 along X,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Left ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,130L,Y=-180; Z≈220/242,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Left ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed body primitive,130R,260×44×44,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Right ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed cylindrical element,130R,R22×60 along X,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Right ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,130R,Y=+180; Z≈220/242,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Right ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed pan primitive,140,420×430×22,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Pelvic-control / anti-submarining pan,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed side members,140,420×35×45,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Pelvic-control / anti-submarining pan,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,140,X=165; Y=±180; Z=215,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Pelvic-control / anti-submarining pan,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed link primitive,150L,30×24×300,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Left seatback rotation-control link,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed cylinder,150L,R14×24 along Y,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Left seatback rotation-control link,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed anchor origin,150L,"(-145,-205,370)",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Left seatback rotation-control link,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed link primitive,150R,30×24×300,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Right seatback rotation-control link,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed cylinder,150R,R14×24 along Y,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Right seatback rotation-control link,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed anchor origin,150R,"(-145,+205,370)",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Right seatback rotation-control link,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed uprights,160,32×50×620 (2),mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Seatback frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed cross-members,160,32×410×50 (2),mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Seatback frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,160,X=-185; Y=±205; Z=225; cross Z=235/820,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Seatback frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed housing,170,90×60×45,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Multi-state lock,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed pin,170,R12×60 along Y,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Multi-state lock,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed lock block,170,18×54×18,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Multi-state lock,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed locations,170,"housing (-80,0,320); pin (-55,-30,342)",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Multi-state lock,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed housing,180,180×50×50,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Rebound-control module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed cylinder,180,R18×70 along X,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Rebound-control module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed locations,180,"body (115,0,250); cyl (25,0,275)",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Rebound-control module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed anchor blocks,190,45×40×60 (2),mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Occupant restraint interface,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,190,X=120; Y=±235; Z=560,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Occupant restraint interface,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed loft profiles,200,24×260 and 24×320,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Torso/head guidance,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed longitudinal offset,200,120,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Torso/head guidance,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed lateral placement,200,Y=±200,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Torso/head guidance,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed instrument plate,210,100×80×8,mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Sensor/trigger interface,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed bosses,210,R6×20 (2),mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Sensor/trigger interface,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed placement,210,"plate (80,0,335); bosses X=110, Y=±28, Z=343",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Sensor/trigger interface,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed hinge cylinders,J,R18×50 along Y (2),mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,High,Hinge/pivot/joint hardware,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Current reconstructed locations,J,"X=-185; Y=-235,+185; Z=270",mm,V7_RECON_SCRIPT,V7-RC-001,MODEL_DERIVED,CAD_SCRIPT_GEOMETRY,Medium,Hinge/pivot/joint hardware,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection
Embedded reconstruction parameter seat_width_mm,SYSTEM,520,mm,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded reconstruction parameter seat_pan_depth_mm,SYSTEM,500,mm,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded reconstruction parameter seatback_height_mm,SYSTEM,650,mm,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded reconstruction parameter rail_spacing_mm,SYSTEM,420,mm,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded reconstruction parameter ride_down_budget_mm,SYSTEM,350,mm,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded reconstruction parameter capture_frame_width_mm,SYSTEM,470,mm,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded reconstruction parameter rail_travel_current_baseline_mm,SYSTEM,180,mm,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded reconstruction parameter absorber_force_target_kN,SYSTEM,18–22,kN,V7_RECON_SCRIPT,V7-RC-001,DESIGN_ASSUMPTION,CAD_SCRIPT_PARAMETER,Medium,Current reconstruction control input,Not authoritative; several values conflict with source R0/R1 and remain design assumptions.,Source-to-model reconciliation,Critical,Controlled parameter register
Embedded H-point vehicle authority,SYSTEM,,,V7_RECON_SCRIPT,V7-RC-001,OEM_INPUT_REQUIRED,Explicit None/TO_BE_DEFINED,High,Vehicle interface,No vehicle-specific H-point.,OEM datum/H-point package,Critical,OEM vehicle data
B-Rep volume,100,13560000.0,mm3,V7_R5_MASS,V7-RC-005,MODEL_DERIVED,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement
component mass,100,,kg,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG X,100,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Y,100,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
component CG Z,100,,mm,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Ixx,100,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
Iyy,100,,kg·mm²,V7_R5_MASS,V7-RC-005,MISSING,ABSENT_VALUE,None,Vehicle interface/base frame mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation"
