RECORD_ID,RECORD_TYPE,PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE_ID,REPOSITORY_PATH,COMMIT_SHA,SOURCE_SHA256,SOURCE_REVISION,ORIGINAL_AUDIT_STATUS,CANONICAL_CLASSIFICATION,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE,CONFLICT_ID,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,NORMALIZATION_NOTE
K-0026,PARAMETER,Current hierarchical STEP solid count,SYSTEM,21,solids,V7_CURRENT_HIER_STEP,V7_ENGINEERING_BASELINE/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,f562a8cfe00835f1919ab3683bf17b3ae407100b,c6dea11388c4bd229f71c9b6a8814f83312a2d1976810c7512e38d6be107043d,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,OpenCascade readback,High,Current reconstruction inventory,"Reconstruction count, not historical V7 binary master.",Independent body mapping,High,Controlled body identity mapping,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0027,PARAMETER,Current BOM reference-item count,SYSTEM,16,items,V7_BOM,V7_ENGINEERING_BASELINE/BOM/V7_BOM.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,3554c3aa48444a24c330bee96ea400faf3d869b05667386056641872992dd011,V7-RC-001,SOURCE_SUPPORTED,CONFLICTED,Current BOM,High,Functional reference inventory,Stable numerals are fewer than R0 named components and STEP solids.,Lineage reconciliation,High,Authoritative assembly BOM mapping,C-013,NO,NO,YES,
K-0028,PARAMETER,P0 true engineering value count claimed,SYSTEM,836,records,P0_COUNT_RECON,P0_MINIMUM_BUILD_DEFINITION/P0_PARAMETER_COUNT_RECONCILIATION.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,f9ee39c00280318bf2c02fa1561e3a9030ac4f980560cd2d7fbb4835ade84a1a,P0,SOURCE_SUPPORTED,CONFLICTED,Prior count claim,Medium,Completeness audit control,Prior artifact cannot identify all 836 records from accessible classified table.,Recover exact prior 836-row ledger,High,Authoritative value ledger,C-018,NO,NO,YES,
K-0029,PARAMETER,P0 category subtotal,SYSTEM,818,records,P0_COUNT_RECON,P0_MINIMUM_BUILD_DEFINITION/P0_PARAMETER_COUNT_RECONCILIATION.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,f9ee39c00280318bf2c02fa1561e3a9030ac4f980560cd2d7fbb4835ade84a1a,P0,SOURCE_SUPPORTED,CONFLICTED,Arithmetic subtotal,High,Completeness audit control,Leaves 18-record delta unresolved.,Recover exact 836-row ledger,High,Authoritative value ledger,C-018,NO,NO,YES,
K-0030,PARAMETER,Unaccounted engineering-value delta,SYSTEM,18,records,P0_COUNT_RECON,P0_MINIMUM_BUILD_DEFINITION/P0_PARAMETER_COUNT_RECONCILIATION.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,f9ee39c00280318bf2c02fa1561e3a9030ac4f980560cd2d7fbb4835ade84a1a,P0,CONFLICTING,CONFLICTED,Arithmetic discrepancy documented,High,Audit integrity,Individual 18 records are not identifiable from accessible artifact set.,Prior classified ledger + provenance,Critical,Recover parameter ledger,C-018,NO,NO,YES,
K-0031,PARAMETER,Current reconstructed base block,100,520×520×30,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Vehicle interface/base frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0032,PARAMETER,Current reconstructed vertical boxes,100,"40×520×120 at X=±240, Z=15",mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Vehicle interface/base frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0033,PARAMETER,Current reconstructed cross-members,100,"40×480×30 at Y=±210, Z=30",mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Vehicle interface/base frame,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0034,PARAMETER,Current reconstructed rail primitive,110L,420×38×42,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,CONFLICTED,CAD_SCRIPT_GEOMETRY,High,Left longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,C-004,YES,NO,YES,
K-0035,PARAMETER,Current reconstructed secondary rail/guide,110L,420×24×28,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,CONFLICTED,CAD_SCRIPT_GEOMETRY,High,Left longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,C-004,YES,NO,YES,
K-0036,PARAMETER,Current reconstructed placement,110L,Y=-210; Z=105 and 145,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,Medium,Left longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0037,PARAMETER,Current reconstructed rail primitive,110R,420×38×42,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,CONFLICTED,CAD_SCRIPT_GEOMETRY,High,Right longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,C-004,YES,NO,YES,
K-0038,PARAMETER,Current reconstructed secondary rail/guide,110R,420×24×28,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,CONFLICTED,CAD_SCRIPT_GEOMETRY,High,Right longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,C-004,YES,NO,YES,
K-0039,PARAMETER,Current reconstructed placement,110R,Y=+210; Z=105 and 145,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,Medium,Right longitudinal load path,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0040,PARAMETER,Current reconstructed carriage primitive,120,470×460×28,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,CONFLICTED,CAD_SCRIPT_GEOMETRY,High,Seat carriage,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,C-005,NO,NO,YES,
K-0041,PARAMETER,Current reconstructed guide blocks,120,"55×60×40 at Y=±210, Z=205",mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Seat carriage,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0042,PARAMETER,Current reconstructed body primitive,130L,260×44×44,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Left ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0043,PARAMETER,Current reconstructed cylindrical element,130L,R22×60 along X,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Left ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0044,PARAMETER,Current reconstructed placement,130L,Y=-180; Z≈220/242,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,Medium,Left ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0045,PARAMETER,Current reconstructed body primitive,130R,260×44×44,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Right ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0046,PARAMETER,Current reconstructed cylindrical element,130R,R22×60 along X,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Right ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0047,PARAMETER,Current reconstructed placement,130R,Y=+180; Z≈220/242,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,Medium,Right ride-down energy-management module,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0048,PARAMETER,Current reconstructed pan primitive,140,420×430×22,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,CONFLICTED,CAD_SCRIPT_GEOMETRY,High,Pelvic-control / anti-submarining pan,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,C-006,NO,NO,YES,
K-0049,PARAMETER,Current reconstructed side members,140,420×35×45,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,High,Pelvic-control / anti-submarining pan,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0050,PARAMETER,Current reconstructed placement,140,X=165; Y=±180; Z=215,mm,V7_RECON_SCRIPT,V7_ENGINEERING_BASELINE/CAD_NATIVE/v7_engineering_reconstruction.py,f562a8cfe00835f1919ab3683bf17b3ae407100b,1c53712b102dcbc5cfaa03807894cc0758031ea6ee1f2408d2aa6bb00561abac,V7-RC-001,MODEL_DERIVED,MODEL_ONLY,CAD_SCRIPT_GEOMETRY,Medium,Pelvic-control / anti-submarining pan,"Manufacturing feature semantics, released datums and tolerance control are absent.",Released CAD + PMI/GD&T + metrology,High,Controlled drawing/PMI + independent inspection,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
