DOMAIN,MASTER_AUDIT_STATUS,CANONICAL_BASELINE_STATUS,CANONICAL_DATA_STATE,CONFLICTED,MANDATORY_EVIDENCE,NEXT_GATE_EVIDENCE,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,NOTES
Absorber,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,Physical characterization absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,Physical characterization absent.
Lock,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,Physical implementation/fault testing absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,Physical implementation/fault testing absent.
Rebound,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,Physical characterization absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,Physical characterization absent.
Restraint,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,Vehicle-specific anchor/package and dynamic evidence absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,Vehicle-specific anchor/package and dynamic evidence absent.
PMI/GD&T,PARTIAL,PARTIAL,DEFINED_WITH_LIMITS,NO,Engineering feature register exists; released PMI/GD&T 0%.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,Engineering feature register exists; released PMI/GD&T 0%.
Tolerances,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No released functional/production tolerances.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No released functional/production tolerances.
DFM,PARTIAL,PARTIAL,DEFINED_WITH_LIMITS,NO,Definition exists; process capability/release absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",YES,NO,YES,Definition exists; process capability/release absent.
CAE,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,Critical inputs and execution evidence absent.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,Critical inputs and execution evidence absent.
Testing,BLOCKED,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No T-OCS physical validation evidence.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No T-OCS physical validation evidence.
Regulatory,MISSING,BLOCKED,NO_SINGLE_CANONICAL_VALUE,NO,No vehicle-specific compliance evidence.,"Controlled source/drawing, OEM input, supplier certification, physical test, or authorized CAE evidence as applicable.",NO,NO,YES,No vehicle-specific compliance evidence.
