DIMENSION_ID,CATEGORY,PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,STATUS,SOURCE_ID,CONFLICT_ID,ENGINEERING_USE,MISSING_INFORMATION,NEXT_REQUIRED_EVIDENCE,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME
D-021,Seat pan,seat pan depth,140,470,mm,CONFLICTED,V7 R0 / R1,C-006,Pelvic support geometry,Current reconstructed pan primitive 430 mm; embedded parameter register gives 500 mm.,Source assumption; not released dimension.,YES,NO,YES
D-022,Seatback,seatback width,160,450,mm,CONFLICTED,V7 R0 / R1,C-007,Occupant packaging and joint definition,Current reconstruction does not expose an authoritative overall released width.,No physical capability implied.,YES,NO,YES
D-023,Seatback,seatback height,160,620,mm,CONFLICTED,V7 R0 / R1,C-007,Occupant packaging and joint definition,Embedded reconstruction parameter uses 650 mm; current model has 620 mm uprights.,No physical capability implied.,YES,NO,YES
D-024,Seatback,backrest thickness,160,,,MISSING,Current source set,,Occupant packaging and joint definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,No physical capability implied.,YES,NO,YES
D-025,Seatback,hinge pivot location,160,,,MISSING,Current source set,,Occupant packaging and joint definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,No physical capability implied.,YES,NO,YES
D-026,Seatback,pivot axis,160,,,MISSING,Current source set,,Occupant packaging and joint definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,No physical capability implied.,YES,NO,YES
D-027,Seatback,torso support geometry,160,,,MISSING,Current source set,,Occupant packaging and joint definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,No physical capability implied.,YES,NO,YES
D-028,Seatback,head-support envelope,160,,,MISSING,Current source set,,Occupant packaging and joint definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,No physical capability implied.,YES,NO,YES
D-029,Seatback,link centre positions,150L/150R,,,MISSING,AUDIT-002,,Occupant packaging and joint definition,No explicit controlled value.,No physical capability implied.,YES,NO,YES
D-030,Seatback,nominal angle,160/J,25,deg,DESIGN_ASSUMPTION,V7 R0 / R1,,Packaging,Not equivalent to physical end-stop capability or vehicle-specific seating requirement.,Concept nominal only.,YES,NO,YES
D-031,Seatback,recline/rotation model minimum,160/J,-10,deg,MODEL_ONLY,V7_R4_MODEL,,Occupant packaging / kinematic definition,Physical stop capability not established.,Do not convert model range to physical capability.,YES,NO,YES
D-032,Seatback,recline/rotation model maximum,160/J,25,deg,MODEL_ONLY,V7_R4_MODEL,,Occupant packaging / kinematic definition,Physical stop capability not established.,Do not convert model range to physical capability.,YES,NO,YES
D-033,Seatback,physical minimum angle,160/J,,deg,MISSING,AUDIT-002,C-011; C-012,Occupant packaging / kinematic definition,No released physical stop geometry.,Physical joint/stop evidence required.,YES,NO,YES
D-034,Seatback,physical maximum angle,160/J,,deg,MISSING,AUDIT-002,C-011; C-012,Occupant packaging / kinematic definition,No released physical stop geometry.,Physical joint/stop evidence required.,YES,NO,YES
D-035,Seatback,physical end-stop locations,160/J,,definition,MISSING,AUDIT-002,C-011; C-012,Occupant packaging / kinematic definition,No released physical stop geometry.,Physical joint/stop evidence required.,YES,NO,YES
D-036,Seatback links,link structural envelope,150L,30×24×300,mm,MODEL_ONLY,V7_RECON_SCRIPT,,Kinematic linkage,Reconstruction primitive only.,Not released fabrication geometry.,YES,NO,YES
D-037,Seatback links,link structural envelope,150R,30×24×300,mm,MODEL_ONLY,V7_RECON_SCRIPT,,Kinematic linkage,Reconstruction primitive only.,Not released fabrication geometry.,YES,NO,YES
D-038,Rails,Rail length,110L/110R,A=480 mm; B=420 mm primitive,mm,CONFLICTED,V7_R0/R1 rail length; V7_RECON_SCRIPT,C-004,Rail packaging/stroke,Source/model rail length mismatch.,Preserve both source values; no selection.,YES,NO,YES
D-039,Rails,Rail spacing,110L/110R,420,mm,DESIGN_ASSUMPTION,V7 R0 / R1,,Vehicle hardpoint integration,"Current reconstruction uses ±210 in its own frame, but frame semantics conflict with V5/R0.",Concept spacing; not OEM hardpoint spacing.,YES,NO,YES
D-040,Rails,rail width,110L,,,MISSING,Current source set,,Rail integration,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-041,Rails,rail height,110L,,,MISSING,Current source set,,Rail integration,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-042,Rails,rail overtravel,110L/110R,,,MISSING,AUDIT-002,,Rail integration,No controlled value.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-043,Rails,runner dimensions,110L,,,MISSING,Current source set,,Rail integration,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-044,Rails,capture/retention geometry,110L,,,MISSING,Current source set,,Rail integration,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-045,Rails,parallelism,110L,,,MISSING,Current source set,,Rail integration,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-046,Rails,alignment,110L,,,MISSING,Current source set,,Rail integration,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-047,Rails,mounting-hole locations,110L,,,MISSING,Current source set,,Rail integration,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Release rail drawing + hardpoint mapping.,YES,NO,YES
D-048,Rails,longitudinal model travel,120/110L/110R,180,mm,MODEL_ONLY,V7_R4_MODEL,C-008,Kinematics/stroke,Model-only; physical rail stroke not released.,Model result only.,YES,NO,YES
D-049,Rails,q1 end-stop minimum,120/110L/110R,0,mm,MODEL_ONLY,V7_R4_MODEL,,Kinematics,Model-only end-stop coordinate.,Physical end-stop geometry required.,YES,NO,YES
D-050,Rails,q1 end-stop maximum,120/110L/110R,180,mm,MODEL_ONLY,V7_R4_MODEL,C-008,Kinematics,Model-only end-stop coordinate.,Physical end-stop geometry required.,YES,NO,YES
D-051,Carriage,Carriage width,120,A=450×360 mm; B=470×460×28 mm,mm,CONFLICTED,V7_R0/R1 carriage; V7_RECON_SCRIPT,C-005,Rail/absorber interface,Concept carriage envelope differs from current reconstruction.,No release implication.,YES,NO,YES
D-052,Carriage,Carriage length/depth,120,A=360 mm depth; B=460 mm depth in 470×460×28 mm primitive,mm,CONFLICTED,V7_R0/R1 carriage; V7_RECON_SCRIPT,C-005,Rail/absorber interface,Concept carriage envelope differs from current reconstruction.,No release implication.,YES,NO,YES
D-053,Carriage,Current reconstructed carriage primitive,120,470×460×28,mm,MODEL_ONLY,V7_RECON_SCRIPT,,Rail/absorber interface,"Manufacturing feature semantics, released datums and tolerance control are absent.",No release implication.,YES,NO,YES
D-054,Hinge,Current reconstructed hinge cylinders,J,R18×50 along Y (2),mm,MODEL_ONLY,V7_RECON_SCRIPT,,J_SEATBACK,Current reconstruction primitive only.,No physical pivot proof.,YES,NO,YES
D-055,Hinge,pivot location,J,,mm,MISSING,AUDIT-002,,Kinematic/packaging,No authoritative pivot coordinates.,Controlled datum + joint source required.,YES,NO,YES
D-056,Hinge,pivot axis,J,,vector,MISSING,AUDIT-002,,Kinematic,No released physical axis.,No transform assumed.,YES,NO,YES
D-057,Lock 170,current reconstructed lock block,170,18×54×18,mm,MODEL_ONLY,V7_RECON_SCRIPT,,Lock packaging,Reconstruction geometry only.,No lock behavior implied.,YES,NO,YES
D-058,Absorber 130,absorber force target,130L/130R,18–22,kN,DESIGN_ASSUMPTION,V7_DISCLOSURE,,Energy management,Concept target; not measured absorber law.,Do not use as validated performance.,YES,NO,YES
D-059,Absorber 130,nominal model stroke,130L/130R,180,mm,MODEL_ONLY,V7_R4_MODEL,C-008,Energy management,Model travel reference; not physical absorber stroke proof.,Test F-x/F-v required.,YES,NO,YES
D-060,Rebound 180,rebound mechanism,180,,definition,TEST_REQUIRED,V7_R5_REBOUND,,Rebound control,Mechanism not physically characterized.,Bench characterization required.,YES,NO,YES
D-061,Rebound 180,rebound axis,180,,vector,TEST_REQUIRED,V7_R5_REBOUND,,Rebound control,Not established physically.,Controlled mechanism/axis evidence required.,YES,NO,YES
D-062,Mounting,mounting-hole locations,100/110L/110R/120/160,,mm/coordinate,MISSING,AUDIT-002,C-019,Vehicle integration,No released mounting-hole coordinate set.,Authoritative drawing/vehicle hardpoints required.,YES,NO,YES
D-063,Mounting,hole diameters,100/110L/110R/120/160,,mm,MISSING,AUDIT-002,,Manufacturing/joint,No controlled hole size.,Drawing + inspection method required.,YES,NO,YES
D-064,Mounting,edge distances,100–210/J,,mm,MISSING,AUDIT-002,,Structural/manufacturing,No released edge-distance values.,Drawing + joint definition required.,YES,NO,YES
D-065,Structure,plate thicknesses,100–210/J,,mm,MISSING,AUDIT-002,,Structural definition,No released plate thickness set.,Material + drawing evidence required.,YES,NO,YES
D-066,Structure,wall thicknesses,100–210/J,,mm,MISSING,AUDIT-002,,Structural definition,No released wall thickness set.,Material + drawing evidence required.,YES,NO,YES
D-067,Structure,radii,100–210/J,,mm,MISSING,AUDIT-002,,Forming/manufacturing,No released radius set.,Drawing + process evidence required.,YES,NO,YES
D-068,Occupant package,occupant clearance envelope,140/190/200,,definition,OEM_REQUIRED,V7_R5_VEHICLE + V6/V7 disclosure,,Occupant packaging,Vehicle-specific package absent.,OEM vehicle package required.,YES,NO,YES
D-069,Occupant package,head clearance,200,,mm,OEM_REQUIRED,V7_R5_VEHICLE + V6/V7 disclosure,,Occupant packaging,Vehicle-specific.,OEM envelope required.,YES,NO,YES
D-070,Occupant package,torso clearance,200,,mm,OEM_REQUIRED,V7_R5_VEHICLE + V6/V7 disclosure,,Occupant packaging,Vehicle-specific.,OEM envelope required.,YES,NO,YES
D-071,Occupant package,knee/leg clearance,140/190/200,,mm,OEM_REQUIRED,V7_R5_VEHICLE + V6/V7 disclosure,,Occupant packaging,Vehicle-specific.,OEM envelope required.,YES,NO,YES
D-072,Occupant package,egress package envelope,SYSTEM,,definition,OEM_REQUIRED,V7_R5_VEHICLE + V6/V7 disclosure,,Packaging feasibility,Vehicle-specific.,OEM package required.,YES,NO,YES
D-073,Clearance,guidance lateral placement,200,A=Y=±250; B=Y=±200,mm,CONFLICTED,V7_R2_EXEC_REPORT; V7_RECON_SCRIPT,C-009,Clearance/interference,R2 report relocation not reflected in reconstruction.,Version-specific geometry verification required.,YES,NO,YES
D-074,Structural member explicit completeness,length,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-075,Structural member explicit completeness,width,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-076,Structural member explicit completeness,height,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-077,Structural member explicit completeness,section geometry,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-078,Structural member explicit completeness,wall thickness,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-079,Structural member explicit completeness,plate thickness,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-080,Structural member explicit completeness,hole sizes,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-081,Structural member explicit completeness,edge distances,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-082,Structural member explicit completeness,radii,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-083,Structural member explicit completeness,offsets,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-084,Structural member explicit completeness,interface locations,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-085,Structural member explicit completeness,reference datums,100,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-086,Structural member explicit completeness,length,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-087,Structural member explicit completeness,width,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-088,Structural member explicit completeness,height,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-089,Structural member explicit completeness,section geometry,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-090,Structural member explicit completeness,wall thickness,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-091,Structural member explicit completeness,plate thickness,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-092,Structural member explicit completeness,hole sizes,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-093,Structural member explicit completeness,edge distances,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-094,Structural member explicit completeness,radii,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-095,Structural member explicit completeness,offsets,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-096,Structural member explicit completeness,interface locations,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-097,Structural member explicit completeness,reference datums,110L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-098,Structural member explicit completeness,length,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-099,Structural member explicit completeness,width,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-100,Structural member explicit completeness,height,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-101,Structural member explicit completeness,section geometry,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-102,Structural member explicit completeness,wall thickness,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-103,Structural member explicit completeness,plate thickness,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-104,Structural member explicit completeness,hole sizes,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-105,Structural member explicit completeness,edge distances,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-106,Structural member explicit completeness,radii,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-107,Structural member explicit completeness,offsets,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-108,Structural member explicit completeness,interface locations,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-109,Structural member explicit completeness,reference datums,110R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-110,Structural member explicit completeness,length,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-111,Structural member explicit completeness,width,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-112,Structural member explicit completeness,height,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-113,Structural member explicit completeness,section geometry,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-114,Structural member explicit completeness,wall thickness,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-115,Structural member explicit completeness,plate thickness,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-116,Structural member explicit completeness,hole sizes,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-117,Structural member explicit completeness,edge distances,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-118,Structural member explicit completeness,radii,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-119,Structural member explicit completeness,offsets,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-120,Structural member explicit completeness,interface locations,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-121,Structural member explicit completeness,reference datums,120,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-122,Structural member explicit completeness,length,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-123,Structural member explicit completeness,width,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-124,Structural member explicit completeness,height,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-125,Structural member explicit completeness,section geometry,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-126,Structural member explicit completeness,wall thickness,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-127,Structural member explicit completeness,plate thickness,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-128,Structural member explicit completeness,hole sizes,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-129,Structural member explicit completeness,edge distances,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-130,Structural member explicit completeness,radii,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-131,Structural member explicit completeness,offsets,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-132,Structural member explicit completeness,interface locations,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-133,Structural member explicit completeness,reference datums,130L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-134,Structural member explicit completeness,length,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-135,Structural member explicit completeness,width,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-136,Structural member explicit completeness,height,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-137,Structural member explicit completeness,section geometry,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-138,Structural member explicit completeness,wall thickness,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-139,Structural member explicit completeness,plate thickness,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-140,Structural member explicit completeness,hole sizes,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-141,Structural member explicit completeness,edge distances,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-142,Structural member explicit completeness,radii,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-143,Structural member explicit completeness,offsets,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-144,Structural member explicit completeness,interface locations,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
