ARTIFACT_ID,PATH,SHA256,REVISION,V7_REFERENCE,PURPOSE,DISCLOSURE_CLASS,RADE_MAY_VIEW,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,CONFIDENTIALITY_CLASS
REF-007,V7_RADE_REFERENCE_READ_ONLY/V7_MASTER_NORMALIZATION_EXECUTIVE_SUMMARY.md,ac5a963295cc646cff1c451d12b2c4bce4c48519933d2c376f15919aa70cfe1a,V7-RC-003,Cross-cutting,Canonical baseline control summary,CONTROL_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
REF-008,V7_RADE_REFERENCE_READ_ONLY/V7_NUMERICAL_CONFLICT_RESOLUTION_REGISTER.csv,7640128e2955964706120f386a56c07bd32c8922df6159965dbafbf37c377598,V7-RC-003,Cross-cutting,Conflict-control reference; no value selected silently,CANONICAL_CONFLICT_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
REF-009,V7_RADE_REFERENCE_READ_ONLY/V7_RADE_STAGE0_DISCLOSURE_BOUNDARY.md,cdea59a21bbc085d972acdc9f54e5b1cd64b7c226176f53b596f102a5064351b,V7-RC-003,Stage-0,Stage-0 disclosure and PASS firewall,RADE_CONTROL,YES,NO,YES,CONTROLLED_INTERNAL
REF-010,V7_RADE_REFERENCE_READ_ONLY/V7_RADE_STAGE0_INPUT_MANIFEST.md,c653b3cd67a5a401a49131d8755ead3e9aad7b5b689a7f7d7ce5ab6e2216beae,V7-RC-003,Stage-0,Approved Stage-0 input boundary,RADE_CONTROL,YES,NO,YES,CONTROLLED_INTERNAL
SRC-001,V7_RADE_WORKING_COPY/SOURCE_REFERENCE/V7_ENGINEERING_BASELINE_PACKAGE_R3_CANONICAL.zip,1a5a537f4b423c8cb6f21e826787f3cccfed006f8bb71146326ef6cc4da54e52,V7-RC-003,100–210 + J,Exact selected V7-R3 source package retained for provenance,SOURCE_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
SRC-002,V7_RADE_WORKING_COPY/SOURCE_REFERENCE/V7_ENGINEERING_BASELINE_MANIFEST_R3_CANONICAL.json,f648b652b1d7980bfaf5e2e82c4258d337fb4bbb68be73c0e602651c75bd8115,V7-RC-003,100–210 + J,Canonical R3 source manifest,SOURCE_REFERENCE,YES,NO,YES,CONTROLLED_INTERNAL
WC-CAD-P100BASE,V7_RADE_WORKING_COPY/CAD_STEP/P100_BASE.step,e918974579cfd8cf85c7d861d8aecc53aa94f10141a5a7e8f9fe957612390ded,V7-RC-003,100,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P110LRAIL,V7_RADE_WORKING_COPY/CAD_STEP/P110L_RAIL.step,20946329ba7178bee18148e2bff55a2fddef970856e3cb6e5839bed28596cd62,V7-RC-003,110L,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P110RRAIL,V7_RADE_WORKING_COPY/CAD_STEP/P110R_RAIL.step,0fca6fd1e5b70ea369d9154c9577b2e155b977e1882b72e4fc707c31aa0ef5f4,V7-RC-003,110R,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P120CARRIAGE,V7_RADE_WORKING_COPY/CAD_STEP/P120_CARRIAGE.step,91a6daef7e5f1d7310682c3a6477d1aa9e402f225e60a0e69c6e612c587dcd83,V7-RC-003,120,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P130LABSORBER,V7_RADE_WORKING_COPY/CAD_STEP/P130L_ABSORBER.step,634b0739fd41d1fe4496bb6151930cecd9aad68fbc2884a76df88801c4a8243b,V7-RC-003,130L,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P130RABSORBER,V7_RADE_WORKING_COPY/CAD_STEP/P130R_ABSORBER.step,de4b4a8dbfab4d4dce6654ce3f8ec877a7ec2dd67398772494e4c8e6fbe4129d,V7-RC-003,130R,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P140PELVICCONTROL,V7_RADE_WORKING_COPY/CAD_STEP/P140_PELVIC_CONTROL.step,3a4ee3b08bbf400ea326fc5f27efd9b584e1bd7db1537076c38734dd49a7a5c9,V7-RC-003,140,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P150LROTATIONLINK,V7_RADE_WORKING_COPY/CAD_STEP/P150L_ROTATION_LINK.step,98780b73442a47a8b4fadce786d1cc69d9a999686deabdba5b1704e56300a541,V7-RC-003,150L,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P150RROTATIONLINK,V7_RADE_WORKING_COPY/CAD_STEP/P150R_ROTATION_LINK.step,7d92b7ef63e97eef3f6db9e8fd41e036cc7a43f44e35f96752c5d375b278e0d9,V7-RC-003,150R,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P160SEATBACKFRAME,V7_RADE_WORKING_COPY/CAD_STEP/P160_SEATBACK_FRAME.step,35da1efc45172078fd60ec82067b7bcef14ede46cdcbf0edcaa9db921ed61f8b,V7-RC-003,160,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P170LOCK170,V7_RADE_WORKING_COPY/CAD_STEP/P170_LOCK170.step,07222f8973506e5152a4b80db8b974786d00ea70d6b128a8ef177b5d1c502817,V7-RC-003,170,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P180REBOUND,V7_RADE_WORKING_COPY/CAD_STEP/P180_REBOUND.step,dca024499bca657542d3781cd34ad1b5ed29207fb7834efc65e127387c543113,V7-RC-003,180,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P190RESTRAINTINTERFACES,V7_RADE_WORKING_COPY/CAD_STEP/P190_RESTRAINT_INTERFACES.step,c92562b01ac66262e986e82309b793a994a53e4970bad97da07acb4b645255df,V7-RC-003,190,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P200OCCUPANTGUIDANCE,V7_RADE_WORKING_COPY/CAD_STEP/P200_OCCUPANT_GUIDANCE.step,854b946deaf29958505669807452687e693f77efd1ce72bafdb30275b8e82fd9,V7-RC-003,200,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-P210SENSORINTERFACE,V7_RADE_WORKING_COPY/CAD_STEP/P210_SENSOR_INTERFACE.step,190dcde1b4328af6b823dfefdb1e98f47e80d17e3d6604fce0e3df71bd94715a,V7-RC-003,210,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-PJHINGEPIVOT,V7_RADE_WORKING_COPY/CAD_STEP/PJ_HINGE_PIVOT.step,27981d1f4fc03293f0942664f48ff1d55c471abef094392ae9d00b4b028a40e2,V7-RC-003,J,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-V7ENGINEERINGRECONSTRUCTIONA,V7_RADE_WORKING_COPY/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY.step,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,V7-RC-003,100–210 + J,Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-CAD-V7ENGINEERINGRECONSTRUCTIONA,V7_RADE_WORKING_COPY/CAD_STEP/V7_ENGINEERING_RECONSTRUCTION_ASSEMBLY_HIERARCHICAL.step,2815121a4622468976b81ac5463b9807d8761692c98d119b7235f1ae3da24f59,V7-RC-003,100–210 + J (21 solids readback),Stage-0 assessment / proposed-change working geometry,WORKING_GEOMETRY,YES,YES,YES,CONTROLLED_INTERNAL
WC-NATIVE-001,V7_RADE_WORKING_COPY/CAD_NATIVE/v7_engineering_reconstruction_R2.py,afc40cdafd10565b106d96da7db09042c62f4592105d4aa6a06f1a19e6b99ef4,V7-RC-003,100–210 + J,Reconstruction source context; not native master CAD,SOURCE_CONTEXT,YES,YES,YES,CONTROLLED_INTERNAL
WC-PC-001,V7_RADE_WORKING_COPY/PROPOSED_CHANGES/PROPOSED_CHANGE_README.md,ad0b545246ef32658e3e5a00638aebd07ec8b0557fba5a3c40c6762a3f5fc188,GATE-004,Cross-cutting,Modification-control instructions,WORKING_CONTROL,YES,YES,YES,CONTROLLED_INTERNAL
